SUBJECT_SAMPLE_FACTORS:         	SUBJECT(optional)	SAMPLE	treatment	Raw file names and additional sample data
SUBJECT_SAMPLE_FACTORS           	-	1001-16-PF-CBL_057	CBL - cases	RAW_FILE_NAME=220603bKCsa23_1
SUBJECT_SAMPLE_FACTORS           	-	1002-18-WH-CBL_063	CBL - cases	RAW_FILE_NAME=220604bKCsa19_1
SUBJECT_SAMPLE_FACTORS           	-	1003-16-JSE-CBL_059	CBL - cases	RAW_FILE_NAME=220604bKCsa10_1
SUBJECT_SAMPLE_FACTORS           	-	1004-04-FS-CBL_040	CBL - cases	RAW_FILE_NAME=220603bKCsa29_1
SUBJECT_SAMPLE_FACTORS           	-	1004-16-SJ-CBL_061	CBL - cases	RAW_FILE_NAME=220604bKCsa02_1
SUBJECT_SAMPLE_FACTORS           	-	1004-19-EA-CBL_064	CBL - cases	RAW_FILE_NAME=220604bKCsa01_1
SUBJECT_SAMPLE_FACTORS           	-	1006-05-KW-CBL_043	CBL - cases	RAW_FILE_NAME=220603bKCsa21_1
SUBJECT_SAMPLE_FACTORS           	-	1007-05-HP-CBL_042	CBL - cases	RAW_FILE_NAME=220604bKCsa07_1
SUBJECT_SAMPLE_FACTORS           	-	1007-05-LL-CBL_038	CBL - cases	RAW_FILE_NAME=220604bKCsa05_1
SUBJECT_SAMPLE_FACTORS           	-	1008-20-RF-CBL_066	CBL - cases	RAW_FILE_NAME=220603bKCsa18_1
SUBJECT_SAMPLE_FACTORS           	-	1009-20-DJ-CBL_068	CBL - cases	RAW_FILE_NAME=220603bKCsa08_1
SUBJECT_SAMPLE_FACTORS           	-	1015-09-DK-CBL_051	CBL - cases	RAW_FILE_NAME=220603bKCsa14_1
SUBJECT_SAMPLE_FACTORS           	-	1018-08-EB-CBL_047	CBL - cases	RAW_FILE_NAME=220604bKCsa23_1
SUBJECT_SAMPLE_FACTORS           	-	1030-09-MM-CBL_053	CBL - cases	RAW_FILE_NAME=220603bKCsa44_1
SUBJECT_SAMPLE_FACTORS           	-	1041-08-IM-CBL_049	CBL - cases	RAW_FILE_NAME=220603bKCsa02_1
SUBJECT_SAMPLE_FACTORS           	-	1046-10-MR-CBL_055	CBL - cases	RAW_FILE_NAME=220603bKCsa11_1
SUBJECT_SAMPLE_FACTORS           	-	105-03-AG-CBL_034	CBL - cases	RAW_FILE_NAME=220604bKCsa24_2
